Constructor,Licensed in
Alfa Romeo,Switzerland[b]
AlphaTauri,Italy
Alpine,France
Aston Martin,United Kingdom
Ferrari,Italy
Haas,United States
McLaren,United Kingdom
Mercedes,Germany
Red Bull,Austria[e]
Williams,United Kingdom
Alex von Falkenhausen Motorenbau,Germany
Automobiles Gonfaronnaises Sportives,France
Alta,United Kingdom
Amon,New Zealand
Andrea Moda,Italy
Apollon,Switzerland
Arrows[h],United Kingdom
Arzani-Volpini,Italy
Aston Butterworth,United Kingdom
Automobili Turismo e Sport,Italy
ATS (Auto Technisches Spezialzubehör),Germany
British American Racing[j],United Kingdom
Behra-Porsche,Germany
Bellasi,Switzerland
Benetton[k],"United Kingdom, Italy[l]"
Boro,Netherlands
Brabham,United Kingdom
Brawn GP,United Kingdom
British Racing Motors,United Kingdom
British Racing Partnership,United Kingdom
Bugatti,France
Caterham,Malaysia
Cisitalia,Italy
Coloni[m],Italy
Connaught,United Kingdom
Connew,United Kingdom
Cooper Car Company,United Kingdom
Dallara,Italy
Derrington-Francis,United Kingdom
Peter de Klerk[n],South Africa
De Tomaso,Italy
Eagle (Anglo American Racers),United States[27]
Eifelland,Germany
Emeryson,United Kingdom
Eisenacher Motorenwerk,East Germany
Ecurie Nationale Belge,Belgium
Ensign,United Kingdom
English Racing Automobiles,United Kingdom
EuroBrun,"Italy, Switzerland"
Ferguson Research Ltd.,United Kingdom
FIRST,Italy
Fittipaldi Automotive (Copersucar),Brazil[28]
Fondmetal,Italy
Force India[o] (Sahara),India
Forti,Italy
Frank Williams Racing Cars[p],United Kingdom
Frazer-Nash,United Kingdom
Fry,United Kingdom
Gilby Engineering,United Kingdom
Gordini,France
Greifzu,East Germany
Hesketh,United Kingdom
Hill,United Kingdom
HRT (Hispania Racing Team),Spain
Honda,Japan
HWM (Hersham and Walton Motors),United Kingdom
Jaguar[q],United Kingdom
JBW,United Kingdom
Jordan[r],Ireland[30]
Kauhsen,Germany
Klenk,Germany
Kojima,Japan
Kurtis,United States
Lambo (Modena Team),Italy
Lancia,Italy
Larrousse,France
LDS,South Africa
LEC,United Kingdom
Leyton House[s],United Kingdom
Life,Italy
Ligier/Talbot Ligier[t],France
Lola[u],United Kingdom
Lotus (1958–1994),United Kingdom
Lotus (2010–2011),Malaysia
Lotus (2012–2015),United Kingdom
Lyncar,United Kingdom
Maki,Japan
Manor,United Kingdom
March[v],United Kingdom
Martini,France
Marussia[w],"Russia, United Kingdom"
Maserati,Italy
Matra,France
MBM,Switzerland
McGuire,Australia
Merzario,Italy
Midland[x],Russia
Milano,Italy
Minardi[y],Italy
Onyx,United Kingdom
O.S.C.A.,Italy
Osella[z],Italy
Pacific,United Kingdom
Parnelli,United States
Penske,United States[37]
Porsche,Germany
Prost[aa],France
RAM,United Kingdom
Racing Point Force India[ab],United Kingdom
Racing Point,United Kingdom
RE,Rhodesia
Renault,"France, United Kingdom[ac]"
Rebaque,Mexico
Rial,Germany
Sauber/BMW Sauber[ad],"Switzerland, Germany[ae]"
Scarab,United States
Scirocco,United Kingdom
Shadow,"United States, United Kingdom[af]"
Shannon,United Kingdom
Simca-Gordini,France
Simtek,United Kingdom
Spirit,United Kingdom
Spyker[ag],Netherlands
Stebro,Canada
Stewart[ah],United Kingdom
Super Aguri,Japan
Surtees,United Kingdom
SVA,Italy
Talbot-Lago,France
Tec-Mec,United States
Tecno,Italy
Theodore,Hong Kong
Token,United Kingdom
Toleman[ai],United Kingdom
Toro Rosso[aj],Italy
Toyota,Japan
Trojan,United Kingdom
Tyrrell[ak],United Kingdom
Vanwall,United Kingdom
Venturi,France
Veritas,Germany
Virgin[al],"United Kingdom, Russia[40]"
Wolf (Walter Wolf Racing)[am],Canada[41][42]
Zakspeed,Germany
Constructor,Licensed in
