Australia,17 Mar 2019,Scuderia Toro Rosso Honda,14,0
Bahrain,31 Mar 2019,Scuderia Toro Rosso Honda,9,2
China,14 Apr 2019,Scuderia Toro Rosso Honda,10,1
Azerbaijan,28 Apr 2019,Scuderia Toro Rosso Honda,11,0
Spain,12 May 2019,Scuderia Toro Rosso Honda,11,0
Monaco,26 May 2019,Scuderia Toro Rosso Honda,8,4
Canada,09 Jun 2019,Scuderia Toro Rosso Honda,DNF,0
France,23 Jun 2019,Scuderia Toro Rosso Honda,15,0
Austria,30 Jun 2019,Scuderia Toro Rosso Honda,15,0
Great Britain,14 Jul 2019,Scuderia Toro Rosso Honda,12,0
Germany,28 Jul 2019,Scuderia Toro Rosso Honda,6,8
Hungary,04 Aug 2019,Scuderia Toro Rosso Honda,10,1
Belgium,01 Sep 2019,Red Bull Racing Honda,5,10
Italy,08 Sep 2019,Red Bull Racing Honda,6,8
Singapore,22 Sep 2019,Red Bull Racing Honda,6,8
Russia,29 Sep 2019,Red Bull Racing Honda,5,10
Japan,13 Oct 2019,Red Bull Racing Honda,4,12
Mexico,27 Oct 2019,Red Bull Racing Honda,5,10
United States,03 Nov 2019,Red Bull Racing Honda,5,10
Brazil,17 Nov 2019,Red Bull Racing Honda,14,0
Abu Dhabi,01 Dec 2019,Red Bull Racing Honda,6,8
