Australia,17 Mar 2019,McLaren Renault,DNF,0
Bahrain,31 Mar 2019,McLaren Renault,DNF,0
China,14 Apr 2019,McLaren Renault,14,0
Azerbaijan,28 Apr 2019,McLaren Renault,7,6
Spain,12 May 2019,McLaren Renault,8,4
Monaco,26 May 2019,McLaren Renault,6,8
Canada,09 Jun 2019,McLaren Renault,11,0
France,23 Jun 2019,McLaren Renault,6,8
Austria,30 Jun 2019,McLaren Renault,8,4
Great Britain,14 Jul 2019,McLaren Renault,6,8
Germany,28 Jul 2019,McLaren Renault,5,10
Hungary,04 Aug 2019,McLaren Renault,5,10
Belgium,01 Sep 2019,McLaren Renault,DNF,0
Italy,08 Sep 2019,McLaren Renault,DNF,0
Singapore,22 Sep 2019,McLaren Renault,12,0
Russia,29 Sep 2019,McLaren Renault,6,8
Japan,13 Oct 2019,McLaren Renault,5,10
Mexico,27 Oct 2019,McLaren Renault,13,0
United States,03 Nov 2019,McLaren Renault,8,4
Brazil,17 Nov 2019,McLaren Renault,3,15
Abu Dhabi,01 Dec 2019,McLaren Renault,10,1
