Australia,17 Mar 2019,Ferrari,5,10
Bahrain,31 Mar 2019,Ferrari,3,16
China,14 Apr 2019,Ferrari,5,10
Azerbaijan,28 Apr 2019,Ferrari,5,11
Spain,12 May 2019,Ferrari,5,10
Monaco,26 May 2019,Ferrari,DNF,0
Canada,09 Jun 2019,Ferrari,3,15
France,23 Jun 2019,Ferrari,3,15
Austria,30 Jun 2019,Ferrari,2,18
Great Britain,14 Jul 2019,Ferrari,3,15
Germany,28 Jul 2019,Ferrari,DNF,0
Hungary,04 Aug 2019,Ferrari,4,12
Belgium,01 Sep 2019,Ferrari,1,25
Italy,08 Sep 2019,Ferrari,1,25
Singapore,22 Sep 2019,Ferrari,2,18
Russia,29 Sep 2019,Ferrari,3,15
Japan,13 Oct 2019,Ferrari,6,8
Mexico,27 Oct 2019,Ferrari,4,13
United States,03 Nov 2019,Ferrari,4,13
Brazil,17 Nov 2019,Ferrari,DNF,0
Abu Dhabi,01 Dec 2019,Ferrari,3,15
