Australia,17 Mar 2019,Scuderia Toro Rosso Honda,10,1
Bahrain,31 Mar 2019,Scuderia Toro Rosso Honda,12,0
China,14 Apr 2019,Scuderia Toro Rosso Honda,DNF,0
Azerbaijan,28 Apr 2019,Scuderia Toro Rosso Honda,DNF,0
Spain,12 May 2019,Scuderia Toro Rosso Honda,9,2
Monaco,26 May 2019,Scuderia Toro Rosso Honda,7,6
Canada,09 Jun 2019,Scuderia Toro Rosso Honda,10,1
France,23 Jun 2019,Scuderia Toro Rosso Honda,14,0
Austria,30 Jun 2019,Scuderia Toro Rosso Honda,17,0
Great Britain,14 Jul 2019,Scuderia Toro Rosso Honda,9,2
Germany,28 Jul 2019,Scuderia Toro Rosso Honda,3,15
Hungary,04 Aug 2019,Scuderia Toro Rosso Honda,15,0
Belgium,01 Sep 2019,Scuderia Toro Rosso Honda,7,6
Italy,08 Sep 2019,Scuderia Toro Rosso Honda,DNF,0
Singapore,22 Sep 2019,Scuderia Toro Rosso Honda,15,0
Russia,29 Sep 2019,Scuderia Toro Rosso Honda,12,0
Japan,13 Oct 2019,Scuderia Toro Rosso Honda,10,1
Mexico,27 Oct 2019,Scuderia Toro Rosso Honda,11,0
United States,03 Nov 2019,Scuderia Toro Rosso Honda,12,0
Brazil,17 Nov 2019,Scuderia Toro Rosso Honda,10,1
Abu Dhabi,01 Dec 2019,Scuderia Toro Rosso Honda,9,2
