Australia,17 Mar 2019,Alfa Romeo Racing Ferrari,8,4
Bahrain,31 Mar 2019,Alfa Romeo Racing Ferrari,7,6
China,14 Apr 2019,Alfa Romeo Racing Ferrari,9,2
Azerbaijan,28 Apr 2019,Alfa Romeo Racing Ferrari,10,1
Spain,12 May 2019,Alfa Romeo Racing Ferrari,14,0
Monaco,26 May 2019,Alfa Romeo Racing Ferrari,17,0
Canada,09 Jun 2019,Alfa Romeo Racing Ferrari,15,0
France,23 Jun 2019,Alfa Romeo Racing Ferrari,7,6
Austria,30 Jun 2019,Alfa Romeo Racing Ferrari,9,2
Great Britain,14 Jul 2019,Alfa Romeo Racing Ferrari,8,4
Germany,28 Jul 2019,Alfa Romeo Racing Ferrari,12,0
Hungary,04 Aug 2019,Alfa Romeo Racing Ferrari,7,6
Belgium,01 Sep 2019,Alfa Romeo Racing Ferrari,16,0
Italy,08 Sep 2019,Alfa Romeo Racing Ferrari,15,0
Singapore,22 Sep 2019,Alfa Romeo Racing Ferrari,DNF,0
Russia,29 Sep 2019,Alfa Romeo Racing Ferrari,13,0
Japan,13 Oct 2019,Alfa Romeo Racing Ferrari,12,0
Mexico,27 Oct 2019,Alfa Romeo Racing Ferrari,DNF,0
United States,03 Nov 2019,Alfa Romeo Racing Ferrari,11,0
Brazil,17 Nov 2019,Alfa Romeo Racing Ferrari,4,12
Abu Dhabi,01 Dec 2019,Alfa Romeo Racing Ferrari,13,0
