Australia,17 Mar 2019,Mercedes,2,18
Bahrain,31 Mar 2019,Mercedes,1,25
China,14 Apr 2019,Mercedes,1,25
Azerbaijan,28 Apr 2019,Mercedes,2,18
Spain,12 May 2019,Mercedes,1,26
Monaco,26 May 2019,Mercedes,1,25
Canada,09 Jun 2019,Mercedes,1,25
France,23 Jun 2019,Mercedes,1,25
Austria,30 Jun 2019,Mercedes,5,10
Great Britain,14 Jul 2019,Mercedes,1,26
Germany,28 Jul 2019,Mercedes,9,2
Hungary,04 Aug 2019,Mercedes,1,25
Belgium,01 Sep 2019,Mercedes,2,18
Italy,08 Sep 2019,Mercedes,3,16
Singapore,22 Sep 2019,Mercedes,4,12
Russia,29 Sep 2019,Mercedes,1,26
Japan,13 Oct 2019,Mercedes,3,16
Mexico,27 Oct 2019,Mercedes,1,25
United States,03 Nov 2019,Mercedes,2,18
Brazil,17 Nov 2019,Mercedes,7,6
Abu Dhabi,01 Dec 2019,Mercedes,1,26
