Australia,17 Mar 2019,Red Bull Racing Honda,3,15
Bahrain,31 Mar 2019,Red Bull Racing Honda,4,12
China,14 Apr 2019,Red Bull Racing Honda,4,12
Azerbaijan,28 Apr 2019,Red Bull Racing Honda,4,12
Spain,12 May 2019,Red Bull Racing Honda,3,15
Monaco,26 May 2019,Red Bull Racing Honda,4,12
Canada,09 Jun 2019,Red Bull Racing Honda,5,10
France,23 Jun 2019,Red Bull Racing Honda,4,12
Austria,30 Jun 2019,Red Bull Racing Honda,1,26
Great Britain,14 Jul 2019,Red Bull Racing Honda,5,10
Germany,28 Jul 2019,Red Bull Racing Honda,1,26
Hungary,04 Aug 2019,Red Bull Racing Honda,2,19
Belgium,01 Sep 2019,Red Bull Racing Honda,DNF,0
Italy,08 Sep 2019,Red Bull Racing Honda,8,4
Singapore,22 Sep 2019,Red Bull Racing Honda,3,15
Russia,29 Sep 2019,Red Bull Racing Honda,4,12
Japan,13 Oct 2019,Red Bull Racing Honda,DNF,0
Mexico,27 Oct 2019,Red Bull Racing Honda,6,8
United States,03 Nov 2019,Red Bull Racing Honda,3,15
Brazil,17 Nov 2019,Red Bull Racing Honda,1,25
Abu Dhabi,01 Dec 2019,Red Bull Racing Honda,2,18
