Australia,17 Mar 2019,Renault,7,6
Bahrain,31 Mar 2019,Renault,DNF,0
China,14 Apr 2019,Renault,DNF,0
Azerbaijan,28 Apr 2019,Renault,14,0
Spain,12 May 2019,Renault,13,0
Monaco,26 May 2019,Renault,13,0
Canada,09 Jun 2019,Renault,7,6
France,23 Jun 2019,Renault,8,4
Austria,30 Jun 2019,Renault,13,0
Great Britain,14 Jul 2019,Renault,10,1
Germany,28 Jul 2019,Renault,DNF,0
Hungary,04 Aug 2019,Renault,12,0
Belgium,01 Sep 2019,Renault,8,4
Italy,08 Sep 2019,Renault,5,10
Singapore,22 Sep 2019,Renault,9,2
Russia,29 Sep 2019,Renault,10,1
Japan,13 Oct 2019,Renault,DSQ,0
Mexico,27 Oct 2019,Renault,10,1
United States,03 Nov 2019,Renault,9,2
Brazil,17 Nov 2019,Renault,15,0
Abu Dhabi,01 Dec 2019,Renault,12,0
