DriverLast,PTS,RaceCountry,RaceDate,Circuit
Hamilton,12,Austria,7/5/20,Red Bull Ring
Verstappen,0,Austria,7/5/20,Red Bull Ring
Hamilton,25,Styria,7/12/20,Red Bull Ring
Verstappen,15,Styria,7/12/20,Red Bull Ring
Hamilton,26,Hungary,7/19/20,Hungaroring
Verstappen,18,Hungary,7/19/20,Hungaroring
Hamilton,25,Great Britain,8/2/20,Silverstone Circuit
Verstappen,19,Great Britain,8/2/20,Silverstone Circuit
Verstappen,25,70th Anniversary,8/9/20,Silverstone Circuit
Hamilton,19,70th Anniversary,8/9/20,Silverstone Circuit
Hamilton,25,Spain,8/16/20,Circuit de Barcelona-Catalunya
Verstappen,18,Spain,8/16/20,Circuit de Barcelona-Catalunya
Hamilton,25,Belgium,8/30/20,Circuit de Spa-Francorchamps
Verstappen,15,Belgium,8/30/20,Circuit de Spa-Francorchamps
Hamilton,7,Italy,9/6/20,Autodromo Nazionale Monza
Verstappen,0,Italy,9/6/20,Autodromo Nazionale Monza
Hamilton,26,Tuscany,9/13/20,Mugello
Verstappen,0,Tuscany,9/13/20,Mugello
Verstappen,18,Russia,9/27/20,Sochi Autodrom
Hamilton,15,Russia,9/27/20,Sochi Autodrom
Hamilton,25,Eifel,10/11/20,Nurburgring
Verstappen,19,Eifel,10/11/20,Nurburgring
Hamilton,26,Portugal,10/25/20,Autodromo Internacional do Algarve
Verstappen,15,Portugal,10/25/20,Autodromo Internacional do Algarve
Hamilton,26,Emilia Romagna,11/1/20,Autodromo Enzo e Dino Ferrari
Verstappen,0,Emilia Romagna,11/1/20,Autodromo Enzo e Dino Ferrari
Hamilton,25,Turkey,11/15/20,Intercity Istanbul Park
Verstappen,8,Turkey,11/15/20,Intercity Istanbul Park
Hamilton,25,Bahrain,11/29/20,Bahrain International Circuit
Verstappen,19,Bahrain,11/29/20,Bahrain International Circuit
Verstappen,0,Sakhir,12/6/20,Bahrain International Circuit  Outer Track
Verstappen,25,Abu Dhabi,12/13/20,Yas Marina Circuit
Hamilton,15,Abu Dhabi,12/13/20,Yas Marina Circuit
