DriverLast,DNF,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th
Hamilton,25,103,48,31,22,20,6,10,4,6,2,,4,2,1,1,1,,1,1,,,,,
Schumacher,58,53,23,14,21,13,17,21,14,9,8,7,9,3,2,6,9,2,6,2,,,1,,
Vettel,36,53,36,33,34,21,11,6,7,3,6,4,8,8,1,4,2,3,2,1,,,1,,
Alonso,61,32,37,29,27,23,19,20,16,9,12,14,5,9,8,1,6,5,2,,,,,,
Rosberg,28,23,25,9,11,16,16,15,10,10,9,9,6,3,5,4,4,2,,1,,,,,
Raikkonen,66,21,37,45,28,25,18,16,15,13,13,10,13,6,8,11,1,3,2,,,,,,
Verstappen,37,20,25,15,14,12,6,3,7,7,8,3,5,2,1,5,2,1,1,,,,,,
Button,57,15,15,20,23,23,18,12,19,13,13,13,15,6,10,6,7,3,2,,,,,,
Massa,40,11,13,17,21,21,27,18,16,26,17,8,7,10,4,8,1,2,1,,1,,,,
Barrichello,31,10,23,20,7,9,9,10,5,8,14,7,13,8,6,6,3,4,1,,,,,,
Bottas,15,10,29,28,13,23,7,3,11,5,3,4,7,4,7,4,4,1,,,,,,,
Webber,56,9,16,17,17,10,14,16,12,13,8,10,8,2,3,2,1,1,,,1,,,,
Ricciardo,33,8,6,18,24,15,15,12,7,9,10,9,10,10,5,5,2,1,4,5,1,,1,,
Montoya,30,7,15,8,10,8,3,4,3,,,1,1,1,1,,,,,,,,,,
Coulthard,39,4,5,12,7,12,8,10,6,9,6,7,4,3,2,3,1,1,1,,,,,,
Fisichella,41,3,2,6,10,9,14,5,8,10,8,7,10,5,6,3,2,3,3,,,,,,
Hakkinen,7,2,,1,3,1,2,,,1,,,,,,,,,,,,,,,
Leclerc,13,2,4,7,12,8,5,7,4,2,5,2,1,2,1,2,1,,2,1,,,,,
Perez,23,2,3,10,9,13,15,25,18,18,19,22,8,6,4,6,6,4,1,1,1,,,,
Gasly,12,1,1,1,4,4,10,8,5,6,4,9,3,7,5,1,2,1,2,,,,,,
Kovalainen,21,1,2,1,4,7,3,5,6,3,3,2,4,6,11,6,8,8,7,3,,,,1,
Kubica,13,1,5,6,7,9,4,7,6,5,2,4,1,4,3,2,4,5,7,2,1,,,,
Maldonado,29,1,,,,1,,3,4,2,3,8,7,5,12,5,7,4,4,1,,,,,
Ocon,14,1,1,,1,4,10,5,9,13,8,3,3,5,5,,2,,3,,,2,,,
Trulli,57,1,3,6,14,14,9,10,11,9,6,6,3,12,4,4,5,6,4,5,1,2,,,
Aitken,,,,,,,,,,,,,,,,,1,,,,,,,,
Albers,17,,,,,1,,,,,1,2,3,4,5,5,2,2,1,2,,,,,
Albon,2,,,2,3,6,6,1,3,1,3,2,2,1,2,4,,,,,,,,,
Alesi,1,,,,,1,3,1,2,3,3,1,1,,,1,,,,,,,,,
Alguersuari,10,,,,,,,2,3,2,3,7,4,4,2,5,3,,,,,1,,,
Badoer,,,,,,,,,,,,,,,1,,,1,,,,,,,
Baumgartner,8,,,,,,,,1,1,1,1,,,,4,4,,,,,,,,
Bernoldi,18,,,,,,,,1,1,2,,2,1,2,,,,,,,,,,
Bianchi,6,,,,,,,,,1,,,,1,1,5,5,3,8,2,2,,,,
Bourdais,7,,,,,,,2,2,,3,2,2,3,1,1,,1,3,,,,,,
Bruni,9,,,,,,,,,,,,,,3,,2,3,1,,,,,,
Buemi,15,,,,,,,2,5,3,5,2,6,4,3,3,5,1,1,,,,,,
Burti,5,,,,,,,,2,,2,3,1,,,,,,,,,,,,
Chandhok,2,,,,,,,,,,,,,,2,1,,1,2,1,2,,,,
Chilton,3,,,,,,,,,,,,,2,2,1,4,10,1,8,2,2,,,
d'Ambrosio,3,,,,,,,,,,,,,1,2,1,1,2,2,2,4,1,1,,
Davidson,10,,,,,,,,,,,3,1,,3,1,5,,1,,,,,,
Doornbos,2,,,,,,,,,,,,2,3,2,,,,2,,,,,,
Enge,1,,,,,,,,,,,,1,,1,,,,,,,,,,
Ericsson,23,,,,,,,,1,4,6,9,5,7,9,12,6,5,5,2,3,,,,
Firman,6,,,,,,,,1,,1,2,1,1,1,1,,,,,,,,,
Fittipaldi,,,,,,,,,,,,,,,,,,1,,1,,,,,
Frentzen,17,,,1,1,2,4,1,1,3,1,4,3,4,,,,,,,,,,,
Friesacher,6,,,,,,1,,,,,,1,,,,,1,1,1,,,,,
Garde,4,,,,,,,,,,,,,,1,3,2,,7,1,,1,,,
Gene,,,,,,1,,,,,1,,1,,,,,,,,,,,,
Giovinazzi,6,,,,,1,,,,3,5,6,4,7,9,8,8,2,2,1,,,,,
Glock,20,,2,1,3,,2,5,1,4,3,4,3,1,5,6,5,5,10,6,3,3,1,,
Grassi,9,,,,,,,,,,,,,,1,1,,2,2,3,1,,,,
Grosjean,49,,2,8,3,1,7,11,11,7,9,12,6,17,6,11,8,6,2,4,1,,,,
Gutierrez,13,,,,,,,1,,,,7,6,9,8,4,4,1,1,2,3,,,,
Hartley,7,,,,,,,,,1,2,2,2,2,3,2,,2,,1,1,,,,
Haryanto,3,,,,,,,,,,,,,,,1,1,2,1,1,1,2,,,
Heidfeld,35,,8,5,10,9,16,13,12,11,14,9,7,5,5,3,1,3,,1,,,,,
Hulkenberg,37,,,,3,9,20,19,19,10,17,5,11,10,6,7,3,3,,2,,1,,,
Ide,3,,,,,,,,,,,,,1,,,,,,,,,,,
Irvine,20,,,2,1,1,1,3,,3,1,1,,,,,,,,,,,,,
Karthikeyan,13,,,,1,,,,,,,2,2,1,1,5,2,3,2,1,2,5,3,2,1
Kiesa,,,,,,,,,,,,1,2,1,,,1,,,,,,,,
Klien,16,,,,,1,1,1,5,5,2,5,3,4,5,1,,,,,1,,1,,
Kobayashi,23,,,1,1,2,4,4,2,7,7,3,2,6,4,3,3,1,2,1,,,,,
Kvyat,22,,1,2,4,1,2,6,1,13,14,10,13,3,8,7,2,1,1,1,,,,,
Latifi,6,,,,,,,1,,1,,4,1,,3,3,7,5,5,3,,,,,
Liuzzi,25,,,,,,2,1,2,5,4,4,2,8,6,4,4,3,1,1,3,1,2,2,
Lotterer,1,,,,,,,,,,,,,,,,,,,,,,,,
Magnussen,22,,1,,,3,3,6,7,7,8,5,11,12,8,8,5,10,3,1,,,,,
Marques,7,,,,,,,,,2,,,,1,1,1,1,,,,,,,,
Matta,7,,,,,,3,2,,3,3,4,2,2,1,,,,,,,,,,
Mazepin,6,,,,,,,,,,,,,,1,,,6,4,3,2,,,,
Mazzacane,3,,,,,,,,,,,,1,,,,,,,,,,,,
McNish,8,,,,,,,1,1,2,,1,,,2,1,,,,,,,,,
Merhi,1,,,,,,,,,,,,1,1,1,3,3,1,1,1,,,,,
Montagny,4,,,,,,,,,,,,,,,,2,,1,,,,,,
Monteiro,7,,,1,,,,,1,1,2,1,3,6,1,4,5,4,,,,,,,
Nakajima,6,,,,,,1,2,2,2,2,1,5,4,3,5,,2,1,,,,,,
Nasr,6,,,,,1,1,,1,3,1,3,4,4,2,5,3,2,1,1,2,,,,
Norris,6,,1,4,4,7,3,6,8,4,7,4,1,2,1,1,,,1,,,,,,
Palmer,11,,,,,,1,,,,1,4,5,6,1,5,,1,,1,,,1,,
Panis,28,,,,1,4,1,3,6,5,1,6,4,3,3,1,,,,,,,,,
Pantano,8,,,,,,,,,,,,,2,1,1,1,1,,,,,,,
Petrov,11,,,1,,2,1,1,1,4,3,5,2,5,2,3,6,7,1,3,,,,,
Pic,9,,,,,,,,,,,,1,,2,4,5,4,2,5,7,,,,
Piquet,11,,1,,1,,1,1,1,,2,2,3,2,,1,2,,,,,,,,
Pizzonia,8,,,,,,,4,,1,3,,,2,1,1,,,,,,,,,
Resta,7,,,,2,,3,6,6,4,5,7,8,2,2,3,,,2,1,1,,,,
Rosa,28,,1,,,4,1,2,4,1,2,6,5,1,3,,,4,3,1,2,4,1,,
Rossi,,,,,,,,,,,,,1,,1,1,,,2,,,,,,
Russell,10,,1,,,,,,1,2,1,3,5,1,8,6,10,7,4,1,,,,,
Sainz,27,,2,4,2,10,17,13,18,10,9,9,6,5,4,1,1,2,,1,,,,,
Salo,6,,,,,,2,1,2,2,,1,1,,1,1,,,,,,,,,
Sato,28,,,1,2,3,5,,4,4,4,4,6,3,4,6,8,4,2,,,,,,
Senna,11,,,,,,1,2,1,2,5,,2,2,2,3,5,4,1,2,1,1,1,,
Sirotkin,3,,,,,,,,,,1,,1,3,2,4,4,1,1,1,,,,,
Speed,11,,,,,,,,,2,2,3,1,5,2,1,,,1,,,,,,
Stevens,2,,,,,,,,,,,,,1,1,3,4,5,1,1,,,,,
Stroll,16,,,3,3,,3,3,7,10,5,8,7,9,11,2,4,5,2,1,1,,,,
Sutil,39,,,,1,3,3,5,5,8,5,8,2,13,6,5,8,10,,4,1,2,,,
Tsunoda,4,,,,1,,1,1,,2,2,,2,2,2,3,1,1,,,,,,,
Vandoorne,8,,,,,,,2,2,2,2,3,8,3,6,4,2,,,,,,,,
Vergne,14,,,,,,2,,7,2,3,2,10,6,4,3,3,1,1,,,,,,
Villeneuve,29,,,2,3,,6,4,8,7,7,6,6,2,2,1,,,,,,,,,
Wehrlein,8,,,,,,,,1,,2,1,1,1,6,5,5,5,2,1,,,1,,
Wilson,9,,,,,,,,1,,,1,,3,1,,1,,,,,,,,
Winkelhock,1,,,,,,,,,,,,,,,,,,,,,,,,
Wurz,3,,,2,1,,,1,,1,1,2,1,2,2,,,,,,,,,,
Yamamoto,7,,,,,,,,,,,,1,,,1,3,3,,2,4,,,,
Yoong,8,,,,,,,1,,,1,,,2,1,,1,,,,,,,,
Zonta,4,,,,,,,1,,,1,1,,1,,,,,,,,,,,
